PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA0707569,ANGLERS SUBDIVISION 4,Contra Costa,SWRCB,Contra Costa-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3110031,WARD WELL WATER COMPANY,Placer,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900158,LITTLE BALDY WATER,Los Angeles,SWRCB,Los Angeles-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1900903,SLEEPY VALLEY WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910128,COVINA IRRIGATING CO.,Los Angeles,SWRCB,Los Angeles-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,Los Angeles,SWRCB,Los Angeles-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301114,CHERRY VALLEY WATER COMPANY,Riverside,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3301877,BLOCK 77 WATER COMPANY,Riverside,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3310026,NUEVO WATER COMPANY,Riverside,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3310033,SANTA ANA RIVER WATER COMPANY,Riverside,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2000533,SUGAR PINE HOMEOWNERS ASSOC,Madera,SWRCB,Madera-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700509,OAK MANOR WS,Monterey,SWRCB,Monterey-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700534,COLONIAL OAK WC INC,Monterey,SWRCB,Monterey-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700536,CORRAL DE TIERRA ESTATES WC,Monterey,SWRCB,Monterey-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700586,GABILAN WC,Monterey,SWRCB,Monterey-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700634,CHETMOORE ACRES WA,Monterey,SWRCB,Monterey-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2700686,GARLEN COURT WS,Monterey,SWRCB,Monterey-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3410016,ORANGE VALE WATER COMPANY,Sacramento,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2701898,CLEAR RIDGE WA,Monterey,SWRCB,Monterey-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2801080,MILTON ROAD WATER COMPANY,Napa,SWRCB,Napa-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2900511,SHADY LAKE WATER ASSOCIATION,Nevada,SWRCB,Nevada-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3100041,ALPINE MEADOWS PROPERTY OWNERS ASSO,Placer,SWRCB,Placer-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3200134,BLAIRSDEN WATER USERS ASSN,Plumas,SWRCB,Plumas-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3400138,LOCKE WATER WORKS CO [SWS],Sacramento,SWRCB,Sacramento-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3610021,FALLSVALE SERVICE COMPANY,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3600070,CENTER WATER CO,San Bernardino,SWRCB,San Bernardino-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3610048,TERRACE WATER COMPANY,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3610117,DEVORE WC,San Bernardino,SWRCB,NO,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3700073,H & J WATER COMPANY,San Diego,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3600297,GORDON ACRES WATER CO,San Bernardino,SWRCB,San Bernardino-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA3900505,FARMINGTON WATER COMPANY,San Joaquin,SWRCB,San Joaquin-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4000637,COUNTRY HILLS ESTATES,San Luis Obispo,SWRCB,San Luis Obispo-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4000750,RIM ROCK WATER COMPANY,San Luis Obispo,SWRCB,San Luis Obispo-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4000815,LAS VENTANAS RANCH,San Luis Obispo,SWRCB,San Luis Obispo-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4200531,RANCHO MARCELINO WATER,Santa Barbara,SWRCB,Santa Barbara-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4200822,SANTA RITA WATER,Santa Barbara,SWRCB,Santa Barbara-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4400526,BIG REDWOOD PARK WATER,Santa Cruz,SWRCB,Santa Cruz-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4400692,ALLAN LANE WATER ASSOCIATION,Santa Cruz,SWRCB,Santa Cruz-LPA,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5200570,SURREY VILLAGE WATER CO. INC.,Tehama,SWRCB,Tehama-LPA,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300521,KENNON WATER COMPANY,Santa Clara,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300525,MELODY WOODS WATER COMPANY,Santa Clara,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300546,SIERRA ROAD IMPROVEMENT ASSOCIATION INC,Santa Clara,SWRCB,,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300550,VISTA GRANDE WATER USERS ASSOCIATION,Santa Clara,SWRCB,,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300560,GREEN MOUNTAIN WATER COMPANY,Santa Clara,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300637,LOS RANCHOS DE UVAS WATER COMPANY,Santa Clara,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300638,SAN MARTIN FOOTHILLS WATER COMPANY,Santa Clara,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4300760,SANTA TERESA MEADOWS WATER COMPANY,Santa Clara,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4900568,VALLEY FORD WATER ASSOCIATION,Sonoma,SWRCB,,PA,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4900578,CARMET BY THE SEA WATER COMPANY,Sonoma,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4900646,ALEXANDER VALLEY ACRES WATER COMPANY,Sonoma,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA4900901,SOBRE VISTA WATER COMPANY,Sonoma,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5304109,BURNT RANCH ESTATES,Trinity,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5304502,"SALYER HEIGHTS W.S., INC",Trinity,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5601105,FILLMORE IRRIGATION CO,Ventura,SWRCB,,Private,Justin,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA2600733,COLD WATER CANYON MWC,Mono,SWRCB,Mono-LPA,,New system ,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA5301103,COVINGTON MILL - A,Trinity,SWRCB,,,New system ,MWC,Non-profit corporation,Mutual Water Company,,"I think this went from inactive -> active. There is a Covington Mill MWC registered at the same address (CA5301104 COVINGTON MILL MWC-DIVISION B), HOWARD G COVINGTON, agent/CEO and that looks who would have this email (HIPOWARDDWG@SBCGLOBAL.NET) but Covington Mill MWC-B seems to be run by FWS Forestry now / http://cmmwcb.org/about-us/ [i think they are 2 systems serving upper and lower parts of the same development",2/15/2023,,,,,,,,,,,,,,,
CA0202503,WOODFORDS MUTUAL WATER COMPANY,Alpine,LPA32,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0310011,FIRST MACE MEADOW # 1,Amador,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,Amador,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400003,HARTLEY MUTUAL WATER SYSTEM,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400008,GRAN MUTUAL WATER CO,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400013,MERRY MOUNTAIN MUTUAL,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400078,FOREST KNOLLS MUTUAL WATER CO,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400149,HUMBOLDT WOODLANDS MUTUAL,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400151,KEEFER CREEK ESTATES,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0400155,BIGGERS GLEN MUTUAL WATER CO,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0409181,BLUE OAK TERRACE MUTUAL,Butte,LPA34,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,Calaveras,LPA35,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0510009,BLUE LAKE SPRINGS MUT WTR,Calaveras,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,El Dorado,LPA39,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA0900300,KYBURZ MUTUAL WATER COMPANY,El Dorado,LPA39,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1000054,LAS DELTAS MUTUAL WATER SYSTEM,Fresno,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1000063,NEW AUBERRY WATER ASSOCIATION,Fresno,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1010053,SHAVER LAKE HEIGHTS MWC,Fresno,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200538,MYERS FLAT M.W.S. INC.,Humboldt,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200547,MILL CREEK M.W.C.,Humboldt,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200566,ORLEANS MUTUAL WATER CO.,Humboldt,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200588,SEAWOOD ESTATES MUTUAL WATER COMPANY,Humboldt,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1200590,MOONSTONE HEIGHTS MWA,Humboldt,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1206002,PALOMINO ESTATES WATER COMPANY,Humboldt,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400024,ROCKING K RANCH ESTATES MUTUAL WATER CO.,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400025,VALLEY VISTA MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400026,RAWSON CREEK MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400027,CARTAGO MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400031,RANCH ROAD ESTATES MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400056,BROOKSIDE ESTATES MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400066,ASPENDELL MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400070,SIERRA GRANDE ESTATES MUTUAL WATER CO.,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400072,NORTH LONE PINE MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400110,PARK WEST MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400111,MEADOWCREEK MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400135,WILSON CIRCLE MUTUAL WATER COMPANY,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1400518,VAN LOON WATER ASSOCIATION,Inyo,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500096,OLD RIVER MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500209,ALTA SIERRA MUTUAL WATER CO.,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500211,STOCKDALE ANNEX MUTUAL WATER,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500231,VICTORY MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500251,RIVERKERN MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500252,KERN VALLEY MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500289,ATHAL MUTUAL WATER SYSTEM,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500296,FULLER ACRES MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500327,RANCHO SECO INC. WATER SYSTEM,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500336,BURLANDO HEIGHTS MUTUAL WATER CO.,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500340,WEST TEHACHAPI MUTUAL,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500344,SOUTH KERN MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500349,STOCKDALE MUTUAL WATER CO.,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500364,KERNVALE MUTUAL WATER CO,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500378,MAHER MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500393,RAINBIRD VALLEY MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500409,BROCK MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500424,LANDS OF PROMISE MWC,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500436,HUNGRY GULCH MWC,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500443,CANYON MEADOWS MUTUAL WATER,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500447,SIERRA BREEZE MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500448,HILLVIEW ACRES MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500455,WILLIAM FISHER MEMORIAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500458,R.S. MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500465,OAK KNOLLS MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500466,A.F.P. MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500475,KRISTA MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500507,ST. CLAIR RANCHOS MUTUAL WATER CO.,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500535,MANON MANOR MUTUAL WATER COMPANY,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500543,AGAPE MUTUAL WATER SYSTEM,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
CA1500546,HARVEST MOON MUTUAL WATER CO,Kern,SWRCB,,MWC,Original,MWC,Non-profit corporation,,,,,,,,,,,,,,,,,,,
